T32,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
36,Australia,2000,Percentage of individuals using the internet,46.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
36,Australia,2005,Percentage of individuals using the internet,63.0,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
36,Australia,2010,Percentage of individuals using the internet,76.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
36,Australia,2015,Percentage of individuals using the internet,84.6,Population aged 15 years and over. Accessed the internet for personal use in a typical week.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
36,Australia,2018,Percentage of individuals using the internet,87.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
36,Australia,2019,Percentage of individuals using the internet,88.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
36,Australia,2020,Percentage of individuals using the internet,89.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
40,Austria,2000,Percentage of individuals using the internet,33.7,Population aged 14 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
40,Austria,2005,Percentage of individuals using the internet,58.0,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
40,Austria,2010,Percentage of individuals using the internet,75.2,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
40,Austria,2015,Percentage of individuals using the internet,83.9,Users in the last 3 months.;Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
40,Austria,2018,Percentage of individuals using the internet,87.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
40,Austria,2019,Percentage of individuals using the internet,87.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
40,Austria,2020,Percentage of individuals using the internet,87.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
31,Azerbaijan,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
31,Azerbaijan,2005,Percentage of individuals using the internet,8.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
31,Azerbaijan,2010,Percentage of individuals using the internet,46.0,Population aged 7 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
31,Azerbaijan,2015,Percentage of individuals using the internet,77.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
31,Azerbaijan,2018,Percentage of individuals using the internet,79.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
31,Azerbaijan,2019,Percentage of individuals using the internet,81.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
31,Azerbaijan,2020,Percentage of individuals using the internet,84.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
44,Bahamas,2000,Percentage of individuals using the internet,8.0,Estimate.;Estimated based on 3 times the number of subscribers.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
44,Bahamas,2005,Percentage of individuals using the internet,25.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
44,Bahamas,2010,Percentage of individuals using the internet,43.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
44,Bahamas,2015,Percentage of individuals using the internet,78.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
44,Bahamas,2018,Percentage of individuals using the internet,83.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
44,Bahamas,2019,Percentage of individuals using the internet,85.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
44,Bahamas,2020,Percentage of individuals using the internet,87.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
48,Bahrain,2000,Percentage of individuals using the internet,6.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
48,Bahrain,2005,Percentage of individuals using the internet,21.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
48,Bahrain,2010,Percentage of individuals using the internet,55.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
48,Bahrain,2015,Percentage of individuals using the internet,93.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
48,Bahrain,2018,Percentage of individuals using the internet,98.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
48,Bahrain,2019,Percentage of individuals using the internet,99.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
48,Bahrain,2020,Percentage of individuals using the internet,99.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
50,Bangladesh,2000,Percentage of individuals using the internet,0.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
50,Bangladesh,2005,Percentage of individuals using the internet,0.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
50,Bangladesh,2010,Percentage of individuals using the internet,3.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
50,Bangladesh,2015,Percentage of individuals using the internet,12.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
50,Bangladesh,2018,Percentage of individuals using the internet,21.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
50,Bangladesh,2019,Percentage of individuals using the internet,23.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
50,Bangladesh,2020,Percentage of individuals using the internet,24.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
52,Barbados,2000,Percentage of individuals using the internet,4.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
52,Barbados,2005,Percentage of individuals using the internet,52.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
52,Barbados,2010,Percentage of individuals using the internet,65.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
52,Barbados,2015,Percentage of individuals using the internet,76.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
112,Belarus,2000,Percentage of individuals using the internet,1.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
112,Belarus,2010,Percentage of individuals using the internet,31.8,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
112,Belarus,2015,Percentage of individuals using the internet,62.2,Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
112,Belarus,2018,Percentage of individuals using the internet,79.1,Population aged 6 to 72 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
112,Belarus,2019,Percentage of individuals using the internet,82.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
112,Belarus,2020,Percentage of individuals using the internet,85.1,Population aged 6 to 72 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
